City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
125,Santa Maria,BR,68.67,overcast clouds,-29.68,-53.81,Hotel Morotin
128,Gat,IL,70.0,clear sky,31.61,34.76,רגע בנחת
129,Andrelandia,BR,61.41,clear sky,-21.74,-44.31,Mônica Hotel
132,Laguna,US,75.99,overcast clouds,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
134,Kudahuvadhoo,MV,83.1,moderate rain,2.67,72.89,Kudahuvadhoo Retreat
138,Cikarang,ID,80.6,haze,-6.26,107.15,Java Palace Hotel
140,Thompson,CA,64.4,few clouds,55.74,-97.86,Burntwood Hotel
145,Touros,BR,77.0,light rain,-5.2,-35.46,INN NEW HORIZON
146,Antalaha,MG,74.43,moderate rain,-14.9,50.28,Hotel Vitasoa
147,Les Cayes,HT,83.34,light rain,18.2,-73.75,Villa Orphee
148,Salinas,US,69.01,light rain,36.68,-121.66,Good Nite Inn Salinas Monterey
149,Tehachapi,US,69.01,clear sky,35.13,-118.45,Holiday Inn Express & Suites Tehachapi Hwy 58/Mill St.
151,Samarai,PG,80.96,light rain,-10.62,150.67,Nuli Sapi
152,Roches Noires,PG,80.96,light rain,-10.62,150.67,Nuli Sapi
153,Hamilton,US,75.0,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
154,Zhezkazgan,KZ,74.55,clear sky,47.8,67.71,Kvartiry Posutochno.
155,Zemio,CF,71.01,moderate rain,5.03,25.14,
157,Cabedelo,BR,82.4,few clouds,-6.98,-34.83,Lua Mansa Pousada
158,Katobu,ID,76.64,overcast clouds,-4.94,122.53,La Ode Gombe
159,Findlay,US,69.8,broken clouds,41.04,-83.65,Drury Inn & Suites Findlay
160,Kiunga,PG,73.51,moderate rain,-6.12,141.29,Airport Lodge Kiunga
163,Paita,PE,80.6,clear sky,-5.09,-81.11,Hotel Náutico de Paita
164,Antofagasta,CL,68.0,scattered clouds,-23.65,-70.4,Hotel Terrado Suites Antofagasta
165,Yarmouth,US,70.0,clear sky,41.71,-70.23,The Inn At Cape Cod
166,Manta,EC,84.2,broken clouds,-0.95,-80.73,Balandra Hotel
167,Calama,CL,60.8,scattered clouds,-22.47,-68.93,Park Hotel Calama
168,Cidreira,BR,66.61,overcast clouds,-30.18,-50.21,Novomar Pousada e Turismo Ltda
170,Sao Filipe,CV,75.63,clear sky,14.9,-24.5,Tortuga B&B
171,Miranorte,CV,75.63,clear sky,14.9,-24.5,Tortuga B&B
172,Dingle,PH,77.76,clear sky,11.0,122.67,Camp Pasica
173,Nizhneyansk,PH,77.76,clear sky,11.0,122.67,Camp Pasica
174,Hilo,US,78.01,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
175,Debre Tabor,ET,60.1,light rain,11.85,38.02,Tigesh
176,Xai-Xai,MZ,68.65,clear sky,-25.05,33.64,Platinum Hotel
180,Price,US,82.4,few clouds,39.6,-110.81,National 9 - Price River Inn
182,Cochrane,CA,75.99,clear sky,51.18,-114.47,Days Inn & Suites by Wyndham Cochrane
183,Dwarka,IN,83.59,broken clouds,22.24,68.97,Hotel Narayan Avezika Comfort
185,Bengkulu,ID,76.93,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
186,Marcona,ID,76.93,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
188,Nago,JP,80.6,broken clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
189,Atuona,PF,81.37,scattered clouds,-9.8,-139.03,Villa Enata
192,Bereda,ES,71.01,light rain,43.27,-7.54,Pazo de Verdes
193,Cancun,MX,87.8,broken clouds,21.17,-86.85,Hotel Tankah Cancun
194,Sao Joao Da Barra,BR,78.8,clear sky,-21.64,-41.05,Pousada Porto De Canoas
195,Bababe,BR,78.8,clear sky,-21.64,-41.05,Pousada Porto De Canoas
198,Kaeo,NZ,61.0,moderate rain,-35.1,173.78,Bushido Lodge
199,Colorado Springs,US,84.2,broken clouds,38.83,-104.82,"The Antlers, A Wyndham Hotel"
200,Abu Kamal,SY,76.84,clear sky,34.45,40.92,
202,Victoria,HK,84.0,light rain,22.29,114.16,Mini Hotel Central
204,Srandakan,ID,77.95,few clouds,-7.94,110.25,Puri Brata
206,Caravelas,BR,72.68,clear sky,-17.71,-39.25,Pousada dos Navegantes
213,Seoni,IN,85.82,few clouds,22.08,79.53,STARiHOTELS Nehru Road Seoni
214,Pemangkat,ID,78.64,light rain,1.17,108.97,Kost H.Syamsuddin
216,Chuy,UY,65.75,broken clouds,-33.7,-53.46,Nuevo Hotel Plaza
217,Seoul,KR,62.6,broken clouds,37.57,126.98,LOTTE HOTEL SEOUL
218,Ovalle,CL,65.84,overcast clouds,-30.6,-71.2,Hotel Altos de Tuqui
221,Rexburg,US,87.8,clear sky,43.83,-111.79,AmericInn by Wyndham Rexburg BYUI
222,Huarmey,PE,73.47,overcast clouds,-10.07,-78.15,Hotel Miramar
224,Huron,US,66.0,clear sky,41.15,-82.55,Indian Creek Campground
225,Coahuayana,MX,82.4,scattered clouds,18.73,-103.68,Hotel Los Arcos
227,Nizwa,OM,87.19,overcast clouds,22.93,57.53,Orient Apartments
230,Ishigaki,JP,82.6,overcast clouds,24.34,124.16,Hotel Peace Land Ishigakijima
231,Mpanda,TZ,67.03,few clouds,-6.37,31.04,CH Hotel - Mpanda
232,Pagudpud,PH,80.98,few clouds,18.56,120.79,JOHNRONALD BEACH RESORT
241,Phan Thiet,VN,78.76,overcast clouds,10.93,108.1,Hotel Saigon-PT
242,Opobo,VN,78.76,overcast clouds,10.93,108.1,Hotel Saigon-PT
243,Broome,US,72.0,overcast clouds,42.25,-75.83,Chenango Valley State Park
244,Cam Ranh,VN,82.4,few clouds,11.92,109.16,OYO 598 Peony Hotel
245,Mys Shmidta,VN,82.4,few clouds,11.92,109.16,OYO 598 Peony Hotel
247,Erzin,TR,66.99,scattered clouds,36.96,36.2,Artemis Otel
250,Qinhuangdao,CN,63.25,overcast clouds,39.93,119.59,Qinhuangdao Peninsula Seasons Hotel And Apartment
252,Guapiacu,BR,80.6,few clouds,-20.8,-49.22,Chacara Rosa De Saron
253,Satitoa,BR,80.6,few clouds,-20.8,-49.22,Chacara Rosa De Saron
254,Kupang,ID,74.21,clear sky,-10.17,123.58,Sylvia Hotel Premier Kupang
255,Baglung,NP,64.26,clear sky,28.27,83.59,"Hotel Peace Palace, Baglung, Nepal"
256,Xinzhi,CN,64.47,overcast clouds,36.5,111.7,Mingyue Hotel
257,Baker City,US,82.4,clear sky,44.77,-117.83,Bridge Street Inn
258,Acapulco,MX,80.6,smoke,16.86,-99.89,HS Hotsson Smart Acapulco
260,Matinha,BR,79.63,light rain,-3.1,-45.03,JR Hotel
261,Dzaoudzi,YT,80.6,light rain,-12.79,45.27,Le Rocher
264,Souillac,MU,69.8,few clouds,-20.52,57.52,Bils' Villa
